date,ticker,liquidity_tier,market_cap_bucket,region,sector,return,realized_vol,turnover_usd_m,spread_bps,stress_regime,log_turnover
2024-01-02,STK18,Low,Large,Asia,Industrials,0.02365,0.01768,25.44,32.35,Calm,3.2363227384719213
2024-01-02,STK19,High,Large,Europe,Financials,0.00441,0.0182,101.68,13.71,Calm,4.621830626881199
2024-01-02,STK20,Medium,Small,US,Tech,0.00666,0.02919,37.75,24.19,Calm,3.6309854756950335
2024-01-02,STK21,Medium,Mid,Asia,Industrials,-0.00868,0.03022,79.14,22.13,Calm,4.371218435957278
2024-01-02,STK22,High,Mid,Europe,Industrials,0.02204,0.01827,104.39,14.34,Calm,4.648133885420207
2024-01-02,STK23,Medium,Mid,Europe,Tech,-0.00333,0.02048,42.03,18.86,Calm,3.7383836490170252
2024-01-02,STK24,Medium,Small,US,Financials,-0.0024,0.02548,43.36,21.73,Calm,3.769537357131391
2024-01-02,STK25,High,Small,Asia,Tech,-0.03011,0.02339,83.85,18.23,Calm,4.429029488269218
2024-01-02,STK26,Medium,Small,Europe,Industrials,-0.02973,0.02537,78.35,25.3,Calm,4.36118596880203
2024-01-02,STK27,Medium,Large,Asia,Industrials,-0.01733,0.01756,53.91,22.26,Calm,3.9873159894635775
2024-01-02,STK28,Medium,Large,US,Tech,-0.00674,0.01793,60.12,20.64,Calm,4.0963425648847736
2024-01-02,STK29,Low,Small,Asia,Industrials,-0.00753,0.02826,14.04,36.03,Calm,2.641910398597665
2024-01-02,STK30,Medium,Small,Asia,Industrials,0.02973,0.02936,43.08,24.44,Calm,3.7630588522881876
2024-01-03,STK01,High,Mid,Europe,Healthcare,-0.01682,0.0233,122.62,15.19,Calm,4.809090142334542
2024-01-03,STK02,Medium,Small,Europe,Healthcare,0.04594,0.0292,48.31,26.14,Calm,3.8776385785663154
2024-01-03,STK03,High,Large,Europe,Tech,0.02312,0.01941,99.99,13.0,Calm,4.605070180987758
2024-01-03,STK04,Medium,Mid,US,Healthcare,0.02137,0.02304,55.81,19.57,Calm,4.021953064800342
2024-01-03,STK05,Medium,Large,Europe,Financials,0.00517,0.01961,37.5,20.84,Calm,3.624340932976365
2024-01-03,STK06,Low,Mid,Asia,Tech,-0.00565,0.02241,18.41,33.74,Calm,2.9128939952449864
2024-01-03,STK07,High,Mid,US,Healthcare,-0.00538,0.02271,174.8,11.59,Calm,5.163642463221435
2024-01-03,STK08,Medium,Large,Europe,Healthcare,-0.03299,0.01878,53.3,20.1,Calm,3.975936331171799
2024-01-03,STK09,High,Small,Europe,Financials,0.02525,0.02923,186.35,14.6,Calm,5.227626625925267
2024-01-03,STK10,Low,Small,Asia,Industrials,-0.00912,0.02726,19.5,33.81,Calm,2.970414465569701
2024-01-03,STK11,High,Large,Europe,Financials,0.02608,0.02215,139.97,16.81,Calm,4.941428113932554
2024-01-03,STK12,Medium,Mid,Asia,Tech,0.01951,0.02357,76.55,21.87,Calm,4.337944122103693
2024-01-03,STK13,Low,Mid,US,Tech,0.02114,0.02136,20.13,32.49,Calm,3.0022112396517002
2024-01-03,STK14,Medium,Mid,US,Healthcare,0.02192,0.01871,60.19,20.1,Calm,4.0975062255596795
2024-01-03,STK15,High,Mid,Asia,Healthcare,-0.03852,0.0245,190.75,15.98,Calm,5.250963670164566
2024-01-03,STK16,High,Mid,Asia,Financials,0.03332,0.02205,90.27,14.58,Calm,4.502805179310063
2024-01-03,STK17,Medium,Small,Asia,Tech,0.00099,0.03016,41.56,22.95,Calm,3.727138166231027
2024-01-03,STK18,Low,Large,Asia,Industrials,0.01687,0.0146,16.74,32.33,Calm,2.817801065061329
2024-01-03,STK19,High,Large,Europe,Financials,0.00145,0.02007,68.24,15.39,Calm,4.223030903183424
2024-01-03,STK20,Medium,Small,US,Tech,-0.01743,0.02949,74.15,20.57,Calm,4.306090068583941
2024-01-03,STK21,Medium,Mid,Asia,Industrials,0.00885,0.02402,33.33,24.65,Calm,3.506457892319648
2024-01-03,STK22,High,Mid,Europe,Industrials,0.02649,0.02479,104.9,16.76,Calm,4.653007515402251
2024-01-03,STK23,Medium,Mid,Europe,Tech,-0.01981,0.02295,52.49,22.06,Calm,3.9606226752642084
2024-01-03,STK24,Medium,Small,US,Financials,0.0278,0.02781,47.65,23.72,Calm,3.863882630100211
2024-01-03,STK25,High,Small,Asia,Tech,-0.01864,0.02507,117.28,17.51,Calm,4.764564238138341
2024-01-03,STK26,Medium,Small,Europe,Industrials,0.00029,0.02578,52.07,23.56,Calm,3.952588967174808
2024-01-03,STK27,Medium,Large,Asia,Industrials,0.01232,0.02224,61.32,22.3,Calm,4.116106054003613
2024-01-03,STK28,Medium,Large,US,Tech,0.04048,0.02523,47.03,20.16,Calm,3.8507856959569566
2024-01-03,STK29,Low,Small,Asia,Industrials,-0.04306,0.02688,20.34,36.42,Calm,3.012589390620414
2024-01-03,STK30,Medium,Small,Asia,Industrials,0.01077,0.02449,33.17,22.07,Calm,3.501645852958961
2024-01-04,STK01,High,Mid,Europe,Healthcare,0.00129,0.02367,85.0,12.96,Calm,4.442651256490317
2024-01-04,STK02,Medium,Small,Europe,Healthcare,0.00379,0.02742,55.52,23.74,Calm,4.016743316198549
2024-01-04,STK03,High,Large,Europe,Tech,-0.01488,0.02112,128.14,15.17,Calm,4.853123416210876
2024-01-04,STK04,Medium,Mid,US,Healthcare,-0.00878,0.0223,52.0,22.56,Calm,3.9512437185814275
2024-01-04,STK05,Medium,Large,Europe,Financials,0.01692,0.0204,46.32,21.1,Calm,3.83557383326474
2024-01-04,STK06,Low,Mid,Asia,Tech,-0.03934,0.01686,14.32,31.28,Calm,2.6616571615324998
2024-01-04,STK07,High,Mid,US,Healthcare,0.00411,0.0208,145.93,13.97,Calm,4.983127054679654
2024-01-04,STK08,Medium,Large,Europe,Healthcare,0.02992,0.02211,68.99,21.0,Calm,4.233961566558017
2024-01-04,STK09,High,Small,Europe,Financials,-0.04311,0.02912,98.14,16.36,Calm,4.586395030661757
2024-01-04,STK10,Low,Small,Asia,Industrials,0.04504,0.02617,18.1,35.93,Calm,2.89591193827178
2024-01-04,STK11,High,Large,Europe,Financials,0.00697,0.01469,133.49,11.44,Calm,4.894026568667641
2024-01-04,STK12,Medium,Mid,Asia,Tech,-0.01358,0.02245,31.32,23.69,Calm,3.4442568711226023
2024-01-04,STK13,Low,Mid,US,Tech,0.00909,0.02124,15.15,33.33,Calm,2.7180005319553784
2024-01-04,STK14,Medium,Mid,US,Healthcare,0.02941,0.02227,53.74,21.94,Calm,3.984157603187345
2024-01-04,STK15,High,Mid,Asia,Healthcare,-0.00723,0.02181,83.64,16.51,Calm,4.426521874560433
2024-01-04,STK16,High,Mid,Asia,Financials,0.00913,0.02618,133.17,15.75,Calm,4.8916265075140535
2024-01-04,STK17,Medium,Small,Asia,Tech,0.00556,0.03469,83.2,24.43,Calm,4.421247347827163
2024-01-04,STK18,Low,Large,Asia,Industrials,-0.00057,0.02207,16.03,34.57,Calm,2.7744619666214616
2024-01-04,STK19,High,Large,Europe,Financials,-0.041,0.01978,98.24,12.55,Calm,4.587413464398832
2024-01-04,STK20,Medium,Small,US,Tech,0.04937,0.02549,44.14,22.4,Calm,3.7873664008285903
2024-01-04,STK21,Medium,Mid,Asia,Industrials,-0.01065,0.02616,38.92,23.59,Calm,3.6615082573178044
2024-01-04,STK22,High,Mid,Europe,Industrials,-0.00746,0.02199,126.74,15.53,Calm,4.842137743895371
2024-01-04,STK23,Medium,Mid,Europe,Tech,0.06762,0.02603,37.21,23.23,Calm,3.6165775423585313
2024-01-04,STK24,Medium,Small,US,Financials,0.01714,0.02951,70.83,23.22,Calm,4.260282639765531
2024-01-04,STK25,High,Small,Asia,Tech,0.01234,0.02867,115.95,15.82,Calm,4.753159063701541
2024-01-04,STK26,Medium,Small,Europe,Industrials,0.00963,0.02628,58.46,23.8,Calm,4.0683427596831
2024-01-04,STK27,Medium,Large,Asia,Industrials,0.01682,0.01798,55.45,19.89,Calm,4.015481713796376
2024-01-04,STK28,Medium,Large,US,Tech,-0.01995,0.01334,45.52,16.9,Calm,3.8181517898180757
2024-01-04,STK29,Low,Small,Asia,Industrials,-0.04948,0.03293,24.77,35.18,Calm,3.209633243501268
2024-01-04,STK30,Medium,Small,Asia,Industrials,0.00867,0.01995,43.21,24.14,Calm,3.766071949943842
2024-01-05,STK01,High,Mid,Europe,Healthcare,0.00242,0.02429,81.9,15.6,Calm,4.405498990859024
2024-01-05,STK02,Medium,Small,Europe,Healthcare,0.01914,0.02864,60.32,23.52,Calm,4.099663723699701
2024-01-05,STK03,High,Large,Europe,Tech,-0.01633,0.01683,151.45,15.12,Calm,5.020255537473246
2024-01-05,STK04,Medium,Mid,US,Healthcare,0.0284,0.02023,69.13,20.32,Calm,4.235988789957173
2024-01-05,STK05,Medium,Large,Europe,Financials,0.00454,0.01757,71.22,19.92,Calm,4.265773677849632
2024-01-05,STK06,Low,Mid,Asia,Tech,-0.01238,0.02759,18.09,34.24,Calm,2.895359299407204
2024-01-05,STK07,High,Mid,US,Healthcare,-0.01307,0.02425,81.81,16.71,Calm,4.404399485525607
2024-01-05,STK08,Medium,Large,Europe,Healthcare,-0.03767,0.02234,27.21,21.91,Calm,3.303584552795155
2024-01-05,STK09,High,Small,Europe,Financials,-0.00669,0.02642,128.73,15.8,Calm,4.857717187671543
2024-01-05,STK10,Low,Small,Asia,Industrials,0.02009,0.02842,20.83,34.0,Calm,3.0363942552728806
2024-01-05,STK11,High,Large,Europe,Financials,0.00619,0.02088,133.23,15.09,Calm,4.892076957972121
2024-01-05,STK12,Medium,Mid,Asia,Tech,-0.02185,0.029,48.43,23.2,Calm,3.880119456415138
2024-01-05,STK13,Low,Mid,US,Tech,-0.0014,0.0198,14.51,32.78,Calm,2.6748380668960965
2024-01-05,STK14,Medium,Mid,US,Healthcare,0.02151,0.0239,50.14,21.16,Calm,3.914819092730147
2024-01-05,STK15,High,Mid,Asia,Healthcare,0.01377,0.02511,116.27,14.97,Calm,4.755915072680517
2024-01-05,STK16,High,Mid,Asia,Financials,0.00615,0.02346,84.25,15.6,Calm,4.433788569232471
2024-01-05,STK17,Medium,Small,Asia,Tech,0.035,0.0262,51.91,20.92,Calm,3.9495114498391377
2024-01-05,STK18,Low,Large,Asia,Industrials,-0.05456,0.02264,18.59,34.34,Calm,2.922623801733353
2024-01-05,STK19,High,Large,Europe,Financials,0.01102,0.01543,112.43,11.8,Calm,4.722330805761668
2024-01-05,STK20,Medium,Small,US,Tech,0.00821,0.03489,36.89,24.72,Calm,3.607940511608584
2024-01-05,STK21,Medium,Mid,Asia,Industrials,0.0505,0.02773,36.47,24.04,Calm,3.596490004820589
2024-01-05,STK22,High,Mid,Europe,Industrials,-0.00934,0.01794,87.84,13.58,Calm,4.47551697776122
2024-01-05,STK23,Medium,Mid,Europe,Tech,0.01306,0.02533,52.58,20.27,Calm,3.9623358193017353
2024-01-05,STK24,Medium,Small,US,Financials,-0.01729,0.02716,68.07,21.76,Calm,4.22053658745986
2024-01-05,STK25,High,Small,Asia,Tech,-0.05144,0.03052,146.43,17.57,Calm,4.986547498567166
2024-01-05,STK26,Medium,Small,Europe,Industrials,-0.04344,0.03051,38.22,24.71,Calm,3.643358938812127
2024-01-05,STK27,Medium,Large,Asia,Industrials,0.01444,0.02023,40.46,19.9,Calm,3.7003138317395994
2024-01-05,STK28,Medium,Large,US,Tech,-0.00865,0.01962,42.46,22.92,Calm,3.74856245627511
2024-01-05,STK29,Low,Small,Asia,Industrials,0.01366,0.02899,21.18,34.59,Calm,3.0530573401732606
2024-01-05,STK30,Medium,Small,Asia,Industrials,-0.0284,0.02729,44.66,24.87,Calm,3.799078246412012
2024-01-08,STK01,High,Mid,Europe,Healthcare,-0.09577,0.04945,266.31,24.83,Stress,5.584661043748338
2024-01-08,STK02,Medium,Small,Europe,Healthcare,-0.05532,0.04968,53.62,32.46,Stress,3.981922132807813
2024-01-08,STK03,High,Large,Europe,Tech,0.02961,0.04235,160.53,21.96,Stress,5.078480840991323
2024-01-08,STK04,Medium,Mid,US,Healthcare,-0.00721,0.05077,60.13,32.41,Stress,4.0965088850514775
2024-01-08,STK05,Medium,Large,Europe,Financials,-0.01658,0.04246,37.37,31.51,Stress,3.6208682434973927
2024-01-08,STK06,Low,Mid,Asia,Tech,-0.05536,0.05016,22.06,46.66,Stress,3.0937660138253564
2024-01-08,STK07,High,Mid,US,Healthcare,0.00823,0.04638,152.5,23.89,Stress,5.0271645960474665
2024-01-08,STK08,Medium,Large,Europe,Healthcare,-0.00078,0.04425,53.12,29.15,Stress,3.9725535051681784
2024-01-08,STK09,High,Small,Europe,Financials,-0.08172,0.04791,129.25,25.43,Stress,4.861748513388538
2024-01-08,STK10,Low,Small,Asia,Industrials,-0.11739,0.04577,25.99,42.4,Stress,3.2577118486533987
2024-01-08,STK11,High,Large,Europe,Financials,-0.05659,0.04297,150.72,23.13,Stress,5.015423810828053
2024-01-08,STK12,Medium,Mid,Asia,Tech,0.0198,0.04712,62.86,34.58,Stress,4.140910031369422
2024-01-08,STK13,Low,Mid,US,Tech,0.02862,0.04578,22.1,44.4,Stress,3.095577608523707
2024-01-08,STK14,Medium,Mid,US,Healthcare,-0.02317,0.04837,50.56,31.9,Stress,3.923160749838602
2024-01-08,STK15,High,Mid,Asia,Healthcare,-0.01996,0.04699,204.78,24.28,Stress,5.321936232146671
2024-01-08,STK16,High,Mid,Asia,Financials,-0.10259,0.04556,132.41,25.98,Stress,4.885903169351665
2024-01-08,STK17,Medium,Small,Asia,Tech,-0.04639,0.04814,47.37,29.68,Stress,3.85798911693566
2024-01-08,STK18,Low,Large,Asia,Industrials,-0.00928,0.03787,21.91,42.57,Stress,3.086943153607375
2024-01-08,STK19,High,Large,Europe,Financials,-0.03662,0.03752,138.81,23.8,Stress,4.9331060915870175
2024-01-08,STK20,Medium,Small,US,Tech,0.031,0.04788,66.23,31.59,Stress,4.193133532496888
2024-01-08,STK21,Medium,Mid,Asia,Industrials,-0.00054,0.04458,68.64,29.64,Stress,4.228875455179707
2024-01-08,STK22,High,Mid,Europe,Industrials,0.03016,0.04398,103.89,22.79,Stress,4.64333264708244
2024-01-08,STK23,Medium,Mid,Europe,Tech,0.04914,0.04356,44.61,31.18,Stress,3.797958049140173
2024-01-08,STK24,Medium,Small,US,Financials,0.06396,0.04377,39.62,30.46,Stress,3.6793340412704048
2024-01-08,STK25,High,Small,Asia,Tech,-0.05762,0.05146,170.57,24.88,Stress,5.139145769652782
2024-01-08,STK26,Medium,Small,Europe,Industrials,-0.00975,0.05196,58.45,33.85,Stress,4.068171687918078
2024-01-08,STK27,Medium,Large,Asia,Industrials,0.03345,0.04145,59.92,31.14,Stress,4.0930103392089645
2024-01-08,STK28,Medium,Large,US,Tech,0.04247,0.03576,32.84,30.9,Stress,3.4916472845842277
2024-01-08,STK29,Low,Small,Asia,Industrials,0.04427,0.04755,14.47,45.24,Stress,2.6720775406433925
2024-01-08,STK30,Medium,Small,Asia,Industrials,-0.05002,0.05601,65.54,33.7,Stress,4.182660643270669
2024-01-09,STK01,High,Mid,Europe,Healthcare,0.0377,0.02112,93.88,17.35,Calm,4.542017370982823
2024-01-09,STK02,Medium,Small,Europe,Healthcare,0.0201,0.03143,39.32,25.65,Calm,3.671733295278966
2024-01-09,STK03,High,Large,Europe,Tech,0.01432,0.01935,165.37,14.55,Calm,5.108185387662105
2024-01-09,STK04,Medium,Mid,US,Healthcare,0.002,0.02393,53.9,19.83,Calm,3.9871304779149512
2024-01-09,STK05,Medium,Large,Europe,Financials,0.02827,0.01635,35.95,22.6,Calm,3.5821290841670557
2024-01-09,STK06,Low,Mid,Asia,Tech,0.00031,0.0261,21.1,36.15,Calm,3.0492730404820207
2024-01-09,STK07,High,Mid,US,Healthcare,0.00137,0.02263,92.06,15.81,Calm,4.5224405383890955
2024-01-09,STK08,Medium,Large,Europe,Healthcare,0.02536,0.01411,48.87,19.29,Calm,3.8891637112820634
2024-01-09,STK09,High,Small,Europe,Financials,0.00136,0.0307,121.35,17.57,Calm,4.79867893217261
2024-01-09,STK10,Low,Small,Asia,Industrials,-0.02045,0.02741,15.11,35.67,Calm,2.715356776284648
2024-01-09,STK11,High,Large,Europe,Financials,-0.02549,0.01427,137.5,13.01,Calm,4.923623917106626
2024-01-09,STK12,Medium,Mid,Asia,Tech,0.02221,0.02165,63.49,22.35,Calm,4.150882413182359
2024-01-09,STK13,Low,Mid,US,Tech,0.00763,0.02214,16.03,32.89,Calm,2.7744619666214616
2024-01-09,STK14,Medium,Mid,US,Healthcare,-0.00306,0.02316,68.29,22.71,Calm,4.223763342972998
2024-01-09,STK15,High,Mid,Asia,Healthcare,-0.0037,0.01829,111.72,14.15,Calm,4.715995741076976
2024-01-09,STK16,High,Mid,Asia,Financials,-0.01274,0.02028,128.9,13.69,Calm,4.859036909945142
2024-01-09,STK17,Medium,Small,Asia,Tech,0.00791,0.02895,44.77,23.99,Calm,3.8015382722528743
2024-01-09,STK18,Low,Large,Asia,Industrials,-0.01697,0.0146,17.56,33.54,Calm,2.8656235882069705
2024-01-09,STK19,High,Large,Europe,Financials,0.00036,0.01167,75.97,12.56,Calm,4.33033852551513
2024-01-09,STK20,Medium,Small,US,Tech,0.01095,0.02767,67.06,19.47,Calm,4.205587741038083
2024-01-09,STK21,Medium,Mid,Asia,Industrials,-0.0201,0.0267,37.34,22.95,Calm,3.6200651381135764
2024-01-09,STK22,High,Mid,Europe,Industrials,0.03553,0.01934,111.52,15.9,Calm,4.714203947012214
2024-01-09,STK23,Medium,Mid,Europe,Tech,0.03685,0.02101,79.7,20.61,Calm,4.378269585796169
2024-01-09,STK24,Medium,Small,US,Financials,0.08818,0.02774,51.15,23.56,Calm,3.9347624923976356
2024-01-09,STK25,High,Small,Asia,Tech,-0.01106,0.03057,101.39,18.61,Calm,4.618974466964488
2024-01-09,STK26,Medium,Small,Europe,Industrials,0.0074,0.02655,62.12,22.52,Calm,4.129067998280486
2024-01-09,STK27,Medium,Large,Asia,Industrials,-0.03498,0.01806,53.85,20.84,Calm,3.9862024036023977
2024-01-09,STK28,Medium,Large,US,Tech,-0.00117,0.02002,38.72,19.73,Calm,3.656356262408376
2024-01-09,STK29,Low,Small,Asia,Industrials,-0.03794,0.02827,16.65,36.79,Calm,2.8124102164264526
2024-01-09,STK30,Medium,Small,Asia,Industrials,0.00747,0.0268,42.77,23.12,Calm,3.7558369222388173
2024-01-10,STK01,High,Mid,Europe,Healthcare,-0.0505,0.02579,122.92,13.61,Calm,4.811533737262284
2024-01-10,STK02,Medium,Small,Europe,Healthcare,-0.00083,0.02958,46.84,23.66,Calm,3.8467375387295166
2024-01-10,STK03,High,Large,Europe,Tech,-0.02378,0.02029,153.35,12.79,Calm,5.032722890560261
2024-01-10,STK04,Medium,Mid,US,Healthcare,-0.00877,0.02033,53.21,22.48,Calm,3.9742463486082777
2024-01-10,STK05,Medium,Large,Europe,Financials,-0.00675,0.01211,32.33,18.61,Calm,3.4759955917373415
2024-01-10,STK06,Low,Mid,Asia,Tech,0.02349,0.02239,19.99,33.26,Calm,2.995232148512309
2024-01-10,STK07,High,Mid,US,Healthcare,-0.03315,0.02158,97.53,15.55,Calm,4.580160022983923
2024-01-10,STK08,Medium,Large,Europe,Healthcare,0.03301,0.02078,50.79,21.01,Calm,3.9276994848131537
2024-01-10,STK09,High,Small,Europe,Financials,-0.03543,0.02775,202.53,15.68,Calm,5.310888023721889
2024-01-10,STK10,Low,Small,Asia,Industrials,0.01184,0.02982,15.13,35.62,Calm,2.7166795278002644
2024-01-10,STK11,High,Large,Europe,Financials,0.02463,0.02128,103.57,16.0,Calm,4.640247712600788
2024-01-10,STK12,Medium,Mid,Asia,Tech,-0.05251,0.02792,56.5,24.65,Calm,4.034240638152395
2024-01-10,STK13,Low,Mid,US,Tech,-0.01295,0.02266,15.94,34.5,Calm,2.768831673362069
2024-01-10,STK14,Medium,Mid,US,Healthcare,0.00956,0.02311,79.24,20.96,Calm,4.37248122183035
2024-01-10,STK15,High,Mid,Asia,Healthcare,0.01027,0.02292,123.31,15.08,Calm,4.814701509882439
2024-01-10,STK16,High,Mid,Asia,Financials,0.01598,0.02711,182.66,16.24,Calm,5.207626501263533
2024-01-10,STK17,Medium,Small,Asia,Tech,0.02265,0.02616,48.42,23.9,Calm,3.8799129515099127
2024-01-10,STK18,Low,Large,Asia,Industrials,0.0243,0.02025,24.71,33.09,Calm,3.2072080200005186
2024-01-10,STK19,High,Large,Europe,Financials,-0.06002,0.02048,110.7,14.92,Calm,4.706823839714591
2024-01-10,STK20,Medium,Small,US,Tech,0.0139,0.03076,19.88,23.93,Calm,2.989714201228428
2024-01-10,STK21,Medium,Mid,Asia,Industrials,0.03433,0.02505,37.02,22.1,Calm,3.6114583071453517
2024-01-10,STK22,High,Mid,Europe,Industrials,0.00904,0.02216,211.99,14.35,Calm,5.356539103748161
2024-01-10,STK23,Medium,Mid,Europe,Tech,-0.00312,0.02846,51.15,22.12,Calm,3.9347624923976356
2024-01-10,STK24,Medium,Small,US,Financials,-0.0219,0.02951,35.19,24.0,Calm,3.5607619513334936
2024-01-10,STK25,High,Small,Asia,Tech,-0.00344,0.03239,122.05,17.4,Calm,4.804430796838969
2024-01-10,STK26,Medium,Small,Europe,Industrials,-0.03154,0.03028,57.75,22.44,Calm,4.056123349401903
2024-01-10,STK27,Medium,Large,Asia,Industrials,0.01018,0.02293,44.65,20.31,Calm,3.798854307322508
2024-01-10,STK28,Medium,Large,US,Tech,0.01545,0.021,33.76,22.29,Calm,3.5192766697277564
2024-01-10,STK29,Low,Small,Asia,Industrials,0.01017,0.03074,23.19,33.9,Calm,3.1437211512674406
2024-01-10,STK30,Medium,Small,Asia,Industrials,0.04246,0.0287,43.87,24.71,Calm,3.7812307151781224
2024-01-11,STK01,High,Mid,Europe,Healthcare,0.0221,0.02882,117.73,17.2,Calm,4.768393867090105
2024-01-11,STK02,Medium,Small,Europe,Healthcare,-0.00185,0.03123,51.14,25.09,Calm,3.9345669698630408
2024-01-11,STK03,High,Large,Europe,Tech,6e-05,0.01868,109.09,14.79,Calm,4.692173229609665
2024-01-11,STK04,Medium,Mid,US,Healthcare,0.01958,0.02589,58.53,21.94,Calm,4.069539443303129
2024-01-11,STK05,Medium,Large,Europe,Financials,-0.01102,0.02201,36.35,23.87,Calm,3.5931942039795284
2024-01-11,STK06,Low,Mid,Asia,Tech,0.00104,0.01991,15.25,32.49,Calm,2.7245795030534206
2024-01-11,STK07,High,Mid,US,Healthcare,0.00817,0.02405,111.23,16.25,Calm,4.711600129603938
2024-01-11,STK08,Medium,Large,Europe,Healthcare,-0.04599,0.02182,54.84,22.09,Calm,4.004419854694114
2024-01-11,STK09,High,Small,Europe,Financials,-0.00014,0.02978,70.16,17.75,Calm,4.250778348063927
2024-01-11,STK10,Low,Small,Asia,Industrials,-0.01702,0.03401,26.64,36.41,Calm,3.2824138456721883
2024-01-11,STK11,High,Large,Europe,Financials,0.02202,0.02233,106.04,15.08,Calm,4.663816381420824
2024-01-11,STK12,Medium,Mid,Asia,Tech,-0.02215,0.0232,60.55,22.39,Calm,4.1034694699991014
2024-01-11,STK13,Low,Mid,US,Tech,-0.02119,0.02779,23.58,34.85,Calm,3.160398895109225
2024-01-11,STK14,Medium,Mid,US,Healthcare,-0.0213,0.02229,43.27,22.54,Calm,3.7674595542367935
2024-01-11,STK15,High,Mid,Asia,Healthcare,0.00287,0.02618,88.71,16.13,Calm,4.485372622532496
2024-01-11,STK16,High,Mid,Asia,Financials,0.00483,0.03221,85.75,19.88,Calm,4.45143608604605
2024-01-11,STK17,Medium,Small,Asia,Tech,-0.00493,0.0321,50.99,24.88,Calm,3.9316295350670645
2024-01-11,STK18,Low,Large,Asia,Industrials,-0.01626,0.02523,17.66,36.13,Calm,2.8713021951758138
2024-01-11,STK19,High,Large,Europe,Financials,0.0299,0.02069,92.55,15.33,Calm,4.527749039019507
2024-01-11,STK20,Medium,Small,US,Tech,-0.00703,0.03064,47.12,22.74,Calm,3.8526975393433314
2024-01-11,STK21,Medium,Mid,Asia,Industrials,0.0265,0.02009,39.4,21.72,Calm,3.673765816303888
2024-01-11,STK22,High,Mid,Europe,Industrials,0.00812,0.0333,104.5,19.89,Calm,4.6491870714048655
2024-01-11,STK23,Medium,Mid,Europe,Tech,0.0027,0.02442,55.15,22.14,Calm,4.0100567456995115
2024-01-11,STK24,Medium,Small,US,Financials,0.01937,0.02965,34.9,22.51,Calm,3.5524868292083815
2024-01-11,STK25,High,Small,Asia,Tech,0.02388,0.03004,104.25,17.27,Calm,4.646791860678911
2024-01-11,STK26,Medium,Small,Europe,Industrials,0.04961,0.03141,42.01,25.97,Calm,3.7379076851812907
2024-01-11,STK27,Medium,Large,Asia,Industrials,0.02526,0.02235,63.14,22.77,Calm,4.145354483129846
2024-01-11,STK28,Medium,Large,US,Tech,-0.02492,0.02271,57.49,22.15,Calm,4.0516110196351995
2024-01-11,STK29,Low,Small,Asia,Industrials,0.04298,0.03297,14.11,36.67,Calm,2.6468837658647226
2024-01-11,STK30,Medium,Small,Asia,Industrials,-0.03848,0.03339,71.8,23.86,Calm,4.273884476054178
2024-01-12,STK01,High,Mid,Europe,Healthcare,-0.0082,0.02269,123.41,16.37,Calm,4.815512145465092
2024-01-12,STK02,Medium,Small,Europe,Healthcare,9e-05,0.02944,38.66,24.64,Calm,3.654805473780185
2024-01-12,STK03,High,Large,Europe,Tech,-0.00436,0.01614,114.07,13.04,Calm,4.736812295039806
2024-01-12,STK04,Medium,Mid,US,Healthcare,-0.0581,0.0277,48.3,22.92,Calm,3.877431560658527
